ACT I,ACT II,,,,,,
Soulstylz,Lily & Nina,,,,,,
Greta,CMU Street Styles,,,,,,
Alex,Lydia & Mara,,,,,,
SPIRIT Dance,Amanda Solo,,,,,,DO NOT DELETE THIS TEXT!!
Divya,CMU Abhinaya,,,,,,1. Duplicate this sheet; change the title to the semester (ex. S15)
HDC Seniors,En Pointe,,,,,,2. Copy the headers and dances to this sheet exactly as shown to your right
Sueah,Anjali Solo,,,,,,3. Download this file as an .csv; making sure this sheet is open and selected when downloading
Filipino Student Association,Infra Dance Company,,,,,,"4. Run the code ""show_order.py"" and pray to the coding gods that it works"
Emily Solo,YMCA,,,,,,
Christoph & Yoona,Jisoo & Lianna,,,,,,
Anita,Hanna,,,,,,
KPDC,Helix Dance Crew,,,,,,
Tricking Seniors,Divya Solo,,,,,,
Anna,Amelia & Nina,,,,,,
Sara,Tricking Club,,,,,,
Caroline,Nicole,,,,,,
Foy,Olivia,,,,,,
Juliann,Alice & Yoona,,,,,,
